Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1212016,,7.8,6.25,3.25,6.0,6.75,,,,,,4.2,N1,Ha Tinh
HT1208750,,7.8,6.0,6.25,7.25,3.5,,,,,,2.2,N1,Ha Tinh
HT1210073,,7.8,8.0,,,,4.25,7.75,6.25,,,7.2,N1,Ha Tinh
HT1216500,,7.8,,7.75,7.25,2.75,,,,,,,,Ha Tinh
HT1214293,,7.8,6.0,6.5,4.0,5.25,,,,,,6.4,N1,Ha Tinh
HT1210681,,7.8,4.5,2.5,5.5,8.5,,,,,,3.6,N1,Ha Tinh
HT1214254,,7.8,6.75,,,,4.5,6.25,6.25,,,5.4,N1,Ha Tinh
HT1208609,,7.8,5.5,4.25,6.25,7.5,,,,,,4.6,N1,Ha Tinh
HT1214987,,7.8,5.5,,,,3.5,7.75,6.75,,,1.8,N1,Ha Tinh
HT1216434,,7.8,6.0,6.75,6.0,4.0,,,,,,4.4,N1,Ha Tinh
HT1208803,,7.8,,8.75,8.75,,,,,,,,,Ha Tinh
HT1210506,,7.8,8.5,,,,5.5,6.75,6.75,,,8.0,N1,Ha Tinh
HT1216454,,7.8,7.25,,,,,,,,,5.8,N1,Ha Tinh
HT1210507,,7.8,7.5,,,,5.0,6.25,8.5,,,8.2,N1,Ha Tinh
HT1211891,,7.8,4.5,8.0,7.25,3.25,,,,,,3.2,N1,Ha Tinh
HT1216459,,7.8,7.75,6.0,6.25,7.0,,,,,,5.6,N1,Ha Tinh
HT1212686,,7.8,7.0,4.25,6.75,6.75,,,,,,4.2,N1,Ha Tinh
HT1214961,,7.8,7.25,8.0,6.75,5.75,,,,,,4.8,N1,Ha Tinh
HT1210059,,7.8,,,7.5,8.75,,,,,,,,Ha Tinh
HT1214460,,7.8,7.75,7.5,7.5,5.5,,,,,,4.4,N1,Ha Tinh
HT1211923,,7.8,5.5,7.75,3.75,3.75,,,,,,5.0,N1,Ha Tinh
HT1212481,,7.8,7.0,,,,5.25,7.5,8.75,,,3.4,N1,Ha Tinh
HT1209906,,7.8,7.5,4.0,3.25,4.0,,,,,,4.0,N1,Ha Tinh
HT1214406,,7.8,5.0,7.5,5.75,5.25,,,,,,2.2,N1,Ha Tinh
HT1210446,,7.8,7.25,7.75,6.75,7.75,,,,,,5.8,N1,Ha Tinh
HT1209162,,7.8,7.75,,,,7.75,9.25,8.75,,,6.6,N1,Ha Tinh
HT1213177,,7.8,6.0,6.25,4.25,5.25,,,,,,5.8,N1,Ha Tinh
HT1210353,,7.8,5.25,7.25,6.5,4.25,,,,,,4.6,N1,Ha Tinh
HT1212287,,7.8,4.25,6.5,5.25,3.25,,,,,,2.8,N1,Ha Tinh
HT1216046,,7.8,3.25,6.0,3.0,2.75,,,,,,3.6,N1,Ha Tinh
HT1209180,,7.8,4.5,7.5,6.75,4.25,,,,,,4.8,N1,Ha Tinh
HT1210377,,7.8,6.75,,,,,,,,,7.6,N1,Ha Tinh
HT1216823,,7.8,6.75,6.25,7.0,4.5,,,,,,2.6,N1,Ha Tinh
HT1213137,,7.8,7.25,7.25,7.0,4.75,,,,,,6.0,N1,Ha Tinh
HT1210383,,7.8,5.75,,,,5.5,6.0,8.0,,,4.0,N1,Ha Tinh
HT1211572,,7.8,6.5,7.75,6.25,4.5,,,,,,6.8,N1,Ha Tinh
HT1213122,,7.8,6.25,7.75,7.0,4.75,,,,,,3.2,N1,Ha Tinh
HT1213995,,7.8,7.0,,,,3.75,6.25,6.75,,,6.0,N1,Ha Tinh
HT1215275,,7.8,5.75,6.0,4.75,3.25,,,,,,2.4,N1,Ha Tinh
HT1209148,,7.8,,7.0,7.0,,,,,,,,,Ha Tinh
HT1214699,,7.8,6.5,5.5,4.5,4.0,,,,,,4.8,N1,Ha Tinh
HT1215145,,7.8,4.0,5.75,4.5,4.0,,,,,,3.6,N1,Ha Tinh
HT1210876,,7.8,6.0,5.5,3.25,4.5,,,,,,2.8,N1,Ha Tinh
HT1211569,,7.8,6.0,,,,5.75,8.25,8.75,,,4.2,N1,Ha Tinh
HT1212225,,7.8,7.0,7.0,6.25,3.5,,,,,,2.8,N1,Ha Tinh
HT1216023,,7.8,6.25,7.5,7.5,7.0,,,,,,5.4,N1,Ha Tinh
HT1213193,,7.8,6.25,7.75,6.25,4.0,,,,,,4.0,N1,Ha Tinh
HT1215329,,7.8,8.0,4.25,6.5,5.5,,,,,,4.2,N1,Ha Tinh
HT1212255,,7.8,7.0,,,,7.25,8.0,9.0,,,6.8,N1,Ha Tinh
HT1212258,,7.8,6.75,6.25,6.25,3.5,,,,,,2.6,N1,Ha Tinh
HT1213877,,7.8,6.25,5.5,6.75,4.75,,,,,,2.4,N1,Ha Tinh
HT1214636,,7.8,7.0,,,,6.25,7.75,8.0,,,4.8,N1,Ha Tinh
HT1209272,,7.8,5.0,7.0,7.0,4.0,,,,,,2.2,N1,Ha Tinh
HT1215388,,7.8,4.5,4.5,4.25,4.75,,,,,,3.6,N1,Ha Tinh
HT1212244,,7.8,6.0,8.25,7.75,4.75,,,,,,4.4,N1,Ha Tinh
HT1215387,,7.8,6.25,7.5,5.5,3.75,,,,,,3.0,N1,Ha Tinh
HT1214645,,7.8,5.5,6.0,6.25,3.5,,,,,,2.4,N1,Ha Tinh
HT1213282,,7.8,6.75,7.25,7.5,6.0,,,,,,3.2,N1,Ha Tinh
HT1213898,,7.8,6.5,,,,4.5,7.25,7.5,,,9.6,N1,Ha Tinh
HT1210331,,7.8,7.0,5.25,7.5,6.75,,,,,,5.4,N1,Ha Tinh
HT1213261,,7.8,6.0,7.75,6.0,3.75,,,,,,2.2,N1,Ha Tinh
HT1213931,,7.8,6.25,6.75,4.25,4.25,,,,,,6.4,N1,Ha Tinh
HT1215984,,7.8,5.75,7.0,6.25,3.75,,,,,,4.6,N1,Ha Tinh
HT1213208,,7.8,8.0,,,,5.5,5.75,8.0,,,4.4,N1,Ha Tinh
HT1211489,,7.8,6.0,7.75,7.0,4.5,,,,,,2.8,N1,Ha Tinh
HT1216090,,7.8,6.75,7.5,8.0,4.5,,,,,,5.8,N1,Ha Tinh
HT1210881,,7.8,5.75,3.5,3.0,4.25,,,,,,4.0,N1,Ha Tinh
HT1215257,,7.8,5.75,4.5,4.0,5.25,,,,,,3.0,N1,Ha Tinh
HT1214543,,7.8,5.25,7.0,7.0,4.25,,,,,,4.6,N1,Ha Tinh
HT1216093,,7.8,7.5,,,,5.25,7.0,9.25,,,6.0,N1,Ha Tinh
HT1216146,,7.8,5.75,6.25,3.5,5.25,,,,,,4.2,N1,Ha Tinh
HT1210811,,7.8,7.0,8.0,7.0,6.75,,,,,,8.8,N1,Ha Tinh
HT1214083,,7.8,6.5,8.25,6.75,5.0,,,,,,5.2,N1,Ha Tinh
HT1209063,,7.8,6.0,7.0,7.0,6.0,,,,,,4.4,N1,Ha Tinh
HT1208549,,7.8,5.0,6.25,4.0,3.25,,,,,,7.6,N1,Ha Tinh
HT1210438,,7.8,7.0,7.25,6.75,6.25,,,,,,4.8,N1,Ha Tinh
HT1212143,,7.8,5.75,7.0,7.75,3.5,,,,,,4.6,N1,Ha Tinh
HT1215165,,7.8,7.0,8.0,7.0,4.75,,,,,,4.8,N1,Ha Tinh
HT1216136,,7.8,7.75,6.25,5.0,4.25,,,,,,7.4,N1,Ha Tinh
HT1209050,,7.8,6.0,6.5,6.0,4.0,,,,,,3.2,N1,Ha Tinh
HT1211654,,7.8,7.25,,,,5.25,7.75,8.75,,,3.8,N1,Ha Tinh
HT1212974,,7.8,,5.0,5.75,,,,,,,,,Ha Tinh
HT1215155,,7.8,5.0,8.25,7.5,2.25,,,,,,3.0,N1,Ha Tinh
HT1212954,,7.8,6.0,5.75,7.75,7.0,,,,,,3.2,N1,Ha Tinh
HT1216186,,7.8,7.75,,,,6.5,8.25,7.75,,,5.2,N1,Ha Tinh
HT1212952,,7.8,7.0,,,,3.75,7.5,8.25,,,9.8,N1,Ha Tinh
HT1209022,,7.8,7.75,,,,4.0,5.75,8.5,,,8.0,N1,Ha Tinh
HT1216139,,7.8,8.25,,,,6.75,8.0,8.75,,,7.0,N1,Ha Tinh
HT1210422,,7.8,7.5,6.25,6.75,6.5,,,,,,4.0,N1,Ha Tinh
HT1210847,,7.8,6.5,5.5,7.0,5.0,,,,,,5.2,N1,Ha Tinh
HT1210269,,7.8,5.75,7.0,6.75,2.25,,,,,,4.4,N1,Ha Tinh
HT1209118,,7.8,6.0,5.25,4.0,5.75,,,,,,4.4,N1,Ha Tinh
HT1213049,,7.8,7.25,,,,6.25,5.5,7.0,,,5.8,N1,Ha Tinh
HT1209838,,7.8,6.0,6.75,7.0,4.75,,,,,,3.2,N1,Ha Tinh
HT1212340,,7.8,6.5,7.75,5.0,6.5,,,,,,5.4,N1,Ha Tinh
HT1210272,,7.8,6.5,4.25,6.0,5.25,,,,,,4.4,N1,Ha Tinh
HT1211610,,7.8,7.5,7.75,4.25,5.0,,,,,,7.6,N1,Ha Tinh
HT1212338,,7.8,7.0,6.75,3.25,4.25,,,,,,3.6,N1,Ha Tinh
HT1215221,,7.8,7.0,,,,8.0,8.5,9.25,,,5.0,N1,Ha Tinh
HT1215220,,7.8,7.25,,,,6.25,7.25,7.75,,,5.6,N1,Ha Tinh
HT1214823,,7.6,7.5,6.0,6.75,4.75,,,,,,2.4,N1,Ha Tinh
HT1214578,,7.6,5.75,7.0,6.75,4.5,,,,,,4.2,N1,Ha Tinh
HT1210469,,7.6,6.0,4.75,6.0,6.5,,,,,,5.0,N1,Ha Tinh
HT1210453,,7.6,7.75,,,,4.25,7.0,7.5,,,5.8,N1,Ha Tinh
HT1214827,,7.6,6.75,4.5,6.5,6.75,,,,,,6.2,N1,Ha Tinh
HT1210388,,7.6,7.0,,,,5.75,6.75,8.25,,,5.8,N1,Ha Tinh
HT1210159,,7.6,6.25,7.75,6.25,6.0,,,,,,3.6,N1,Ha Tinh
HT1213668,,7.6,5.25,6.25,7.75,4.25,,,,,,3.6,N1,Ha Tinh
HT1214541,,7.6,5.75,3.5,5.75,6.75,,,,,,4.0,N1,Ha Tinh
HT1210373,,7.6,5.0,7.25,6.5,6.25,,,,,,4.2,N1,Ha Tinh
HT1214852,,7.6,6.75,,,,8.5,8.25,9.5,,,4.6,N1,Ha Tinh
HT1214646,,7.6,7.0,,,,4.5,7.25,7.25,,,6.4,N1,Ha Tinh
HT1213683,,7.6,6.5,7.25,5.25,5.5,,,,,,3.6,N1,Ha Tinh
HT1210367,,7.6,6.25,5.25,7.5,6.25,,,,,,3.4,N1,Ha Tinh
HT1209600,,7.6,,7.0,5.25,2.5,,,,,,,,Ha Tinh
HT1214648,,7.6,8.0,,,,3.5,7.25,8.0,,,7.2,N1,Ha Tinh
HT1210505,,7.6,,5.5,7.0,,,,,,,,,Ha Tinh
HT1209584,,7.6,7.5,,,,5.75,6.25,9.25,,,7.0,N1,Ha Tinh
HT1215580,,7.6,7.25,6.5,3.25,4.0,,,,,,6.6,N1,Ha Tinh
HT1213655,,7.6,3.75,7.75,6.25,2.5,,,,,,5.0,N1,Ha Tinh
HT1214833,,7.6,6.25,6.75,7.25,6.25,,,,,,5.4,N1,Ha Tinh
HT1210475,,7.6,8.0,,,,5.25,8.5,9.0,,,4.4,N1,Ha Tinh
HT1210976,,7.6,6.5,6.0,8.0,5.0,,,,,,2.0,N1,Ha Tinh
HT1210553,,7.6,6.0,6.5,5.25,4.25,,,,,,3.6,N1,Ha Tinh
HT1215423,,7.6,5.75,6.25,5.25,4.25,,,,,,4.6,N1,Ha Tinh
HT1211014,,7.6,5.25,7.75,1.5,1.75,,,,,,8.6,N1,Ha Tinh
HT1210805,,7.6,6.25,6.75,6.0,5.25,,,,,,6.6,N1,Ha Tinh
HT1210815,,7.6,6.75,7.75,6.25,5.25,,,,,,3.0,N1,Ha Tinh
HT1215203,,7.6,5.5,7.0,7.25,3.0,,,,,,4.4,N1,Ha Tinh
HT1214043,,7.6,7.25,,,,6.75,7.5,9.25,,,4.6,N1,Ha Tinh
HT1209847,,7.6,7.5,,,,7.25,8.0,8.0,,,4.6,N1,Ha Tinh
HT1214028,,7.6,6.25,,,,4.25,5.75,7.5,,,7.6,N1,Ha Tinh
HT1214023,,7.6,4.5,8.0,8.5,3.0,,,,,,2.6,N1,Ha Tinh
HT1210859,,7.6,8.0,,,,7.0,8.5,9.5,,,9.8,N1,Ha Tinh
HT1209835,,7.6,6.0,8.0,5.0,4.75,,,,,,8.6,N1,Ha Tinh
HT1214006,,7.6,6.5,7.25,5.5,6.0,,,,,,5.2,N1,Ha Tinh
HT1215280,,7.6,5.0,6.75,7.0,4.75,,,,,,3.6,N1,Ha Tinh
HT1209700,,7.6,8.25,,,,6.75,7.75,8.25,,,7.4,N1,Ha Tinh
HT1209786,,7.6,7.0,7.25,6.0,5.75,,,,,,5.4,N1,Ha Tinh
HT1215166,,7.6,5.75,5.25,7.0,6.25,,,,,,3.6,N1,Ha Tinh
HT1215319,,7.6,6.0,8.25,6.25,2.0,,,,,,2.6,N1,Ha Tinh
HT1213846,,7.6,7.5,,,,6.5,7.5,9.25,,,9.6,N1,Ha Tinh
HT1213958,,7.6,6.75,,,,2.75,6.0,8.5,,,3.4,N1,Ha Tinh
HT1215325,,7.6,6.75,8.25,7.25,5.5,,,,,,3.8,N1,Ha Tinh
HT1209778,,7.6,6.75,5.75,6.75,4.75,,,,,,6.2,N1,Ha Tinh
HT1215417,,7.6,7.5,,,,4.75,6.0,7.25,,,4.6,N1,Ha Tinh
HT1215364,,7.6,6.75,7.75,7.25,4.5,,,,,,5.8,N1,Ha Tinh
HT1215369,,7.6,7.5,8.25,8.25,5.25,,,,,,6.6,N1,Ha Tinh
HT1215378,,7.6,7.0,6.0,5.0,5.0,,,,,,5.4,N1,Ha Tinh
HT1209710,,7.6,8.0,,,,2.5,7.0,7.75,,,4.6,N1,Ha Tinh
HT1213852,,7.6,6.75,7.25,7.75,6.5,,,,,,5.2,N1,Ha Tinh
HT1210968,,7.6,6.5,5.75,5.25,4.75,,,,,,4.0,N1,Ha Tinh
HT1209724,,7.6,8.75,,,,6.25,7.0,8.5,,,8.2,N1,Ha Tinh
HT1210799,,7.6,6.25,7.0,7.5,5.5,,,,,,4.0,N1,Ha Tinh
HT1209673,,7.6,6.5,7.25,6.5,6.0,,,,,,3.6,N1,Ha Tinh
HT1214400,,7.6,8.5,,,,5.75,7.5,8.75,,,6.0,N1,Ha Tinh
HT1215016,,7.6,5.25,8.0,6.0,3.5,,,,,,2.6,N1,Ha Tinh
HT1210586,,7.6,6.25,5.5,7.25,8.25,,,,,,4.8,N1,Ha Tinh
HT1214906,,7.6,4.75,5.25,4.75,3.0,3.5,6.5,6.5,,,2.8,N1,Ha Tinh
HT1214321,,7.6,5.75,5.5,6.75,4.75,,,,,,4.0,N1,Ha Tinh
HT1214314,,7.6,6.0,7.75,5.75,3.5,,,,,,6.6,N1,Ha Tinh
HT1210629,,7.6,7.0,,,,4.75,7.0,8.5,,,5.0,N1,Ha Tinh
HT1214933,,7.6,7.25,,,,5.5,7.5,8.25,,,8.0,N1,Ha Tinh
HT1214946,,7.6,,7.25,5.5,,,,,,,,,Ha Tinh
HT1214277,,7.6,6.75,,,,4.5,7.0,8.75,,,3.6,N1,Ha Tinh
HT1210056,,7.6,6.25,5.5,4.25,5.25,,,,,,2.8,N1,Ha Tinh
HT1214964,,7.6,4.0,6.75,6.75,5.25,,,,,,3.0,N1,Ha Tinh
HT1214974,,7.6,5.75,4.75,7.0,5.25,,,,,,4.2,N1,Ha Tinh
HT1214976,,7.6,6.75,5.75,5.25,4.0,,,,,,3.6,N1,Ha Tinh
HT1214988,,7.6,5.25,6.75,7.25,4.25,,,,,,2.2,N1,Ha Tinh
HT1214221,,7.6,6.5,6.25,6.5,6.25,,,,,,3.6,N1,Ha Tinh
HT1213806,,7.6,,7.25,6.25,,,,,,,,,Ha Tinh
HT1214213,,7.6,5.0,4.25,5.0,5.5,,,,,,3.8,N1,Ha Tinh
HT1211058,,7.6,5.75,7.0,7.5,4.25,,,,,,2.4,N1,Ha Tinh
HT1213760,,7.6,6.0,8.25,6.75,5.25,,,,,,3.4,N1,Ha Tinh
HT1210717,,7.6,7.25,,,,5.25,6.75,9.0,,,3.6,N1,Ha Tinh
HT1210718,,7.6,5.75,7.5,6.0,6.0,,,,,,3.0,N1,Ha Tinh
HT1213788,,7.6,6.75,6.5,6.75,1.75,,,,,,4.6,N1,Ha Tinh
HT1215088,,7.6,7.75,6.0,6.25,6.5,,,,,,3.8,N1,Ha Tinh
HT1214168,,7.6,6.0,,,,5.5,6.75,9.5,,,5.2,N1,Ha Tinh
HT1210742,,7.6,7.25,6.5,5.75,5.75,,,,,,4.8,N1,Ha Tinh
HT1215121,,7.6,6.0,,,,6.25,7.25,8.25,,,4.0,N1,Ha Tinh
HT1209915,,7.6,5.5,7.0,5.5,4.5,,,,,,4.0,N1,Ha Tinh
HT1214115,,7.6,6.0,,,,5.0,8.0,6.75,,,5.0,N1,Ha Tinh
HT1214109,,7.6,5.75,6.0,6.0,7.75,,,,,,5.0,N1,Ha Tinh
HT1214623,,7.6,6.5,,,,4.0,6.0,7.5,,,3.8,N1,Ha Tinh
HT1211308,,7.6,7.5,5.75,4.75,3.5,,,,,,6.6,N1,Ha Tinh
HT1211173,,7.6,5.5,6.5,5.0,5.0,,,,,,7.2,N1,Ha Tinh
HT1211398,,7.6,6.25,,,,5.5,7.0,7.25,,,5.8,N1,Ha Tinh
HT1211345,,7.6,6.25,3.75,6.25,4.5,,,,,,3.2,N1,Ha Tinh
HT1215828,,7.6,7.75,,,,4.25,7.25,7.5,,,8.0,N1,Ha Tinh
HT1211973,,7.6,7.75,,,,4.25,6.75,8.75,,,6.6,N1,Ha Tinh
HT1213369,,7.6,,7.25,7.5,,,,,,,,,Ha Tinh
HT1211962,,7.6,6.5,3.5,6.0,6.5,,,,,,4.0,N1,Ha Tinh
HT1209320,,7.6,5.5,4.75,6.0,7.75,,,,,,4.0,N1,Ha Tinh
HT1213358,,7.6,5.75,4.5,6.5,2.75,6.25,6.75,7.0,,,3.2,N1,Ha Tinh
HT1216533,,7.6,5.5,5.0,5.25,4.0,,,,,,3.0,N1,Ha Tinh
HT1213343,,7.6,6.25,5.75,4.5,5.0,,,,,,6.0,N1,Ha Tinh
HT1208735,,7.6,,6.75,5.75,,,,,,,,,Ha Tinh
HT1216526,,7.6,6.5,6.25,4.75,5.25,,,,,,4.0,N1,Ha Tinh
HT1215924,,7.6,6.25,7.75,6.0,5.5,,,,,,4.0,N1,Ha Tinh
HT1211412,,7.6,6.75,4.75,6.75,6.25,,,,,,3.8,N1,Ha Tinh
HT1211937,,7.6,8.0,7.25,6.0,6.0,,,,,,3.6,N1,Ha Tinh
HT1211419,,7.6,6.5,4.25,6.75,7.75,,,,,,3.6,N1,Ha Tinh
HT1213306,,7.6,6.0,6.75,6.5,5.25,,,,,,4.4,N1,Ha Tinh
HT1208752,,7.6,8.5,5.25,7.0,5.75,,,,,,5.2,N1,Ha Tinh
HT1208761,,7.6,6.5,7.75,5.75,6.25,,,,,,5.4,N1,Ha Tinh
HT1216484,,7.6,6.25,6.75,7.25,5.25,,,,,,5.0,N1,Ha Tinh
HT1208769,,7.6,5.75,7.5,5.25,5.25,,,,,,2.4,N1,Ha Tinh
HT1212667,,7.6,7.75,6.0,6.5,5.0,,,,,,3.8,N1,Ha Tinh
HT1212669,,7.6,6.5,2.75,2.75,2.75,5.75,8.25,9.0,,,4.0,N1,Ha Tinh
HT1211990,,7.6,,7.25,6.25,,,,,,,,,Ha Tinh
HT1212580,,7.6,4.75,7.25,6.75,2.75,,,,,,4.2,N1,Ha Tinh
HT1212577,,7.6,7.25,5.5,5.75,4.5,,,,,,4.6,N1,Ha Tinh
HT1211334,,7.6,5.5,,,,6.25,7.5,9.75,,,5.4,N1,Ha Tinh
HT1216658,,7.6,6.25,5.75,,,,,,,,6.4,N1,Ha Tinh
HT1209412,,7.6,5.75,7.0,4.5,3.25,,,,,,8.0,N1,Ha Tinh
HT1212046,,7.6,6.0,6.0,6.0,3.5,,,,,,2.8,N1,Ha Tinh
HT1213468,,7.6,6.25,6.0,3.0,4.0,,,,,,5.2,N1,Ha Tinh
HT1216639,,7.6,7.25,,,,6.0,7.75,8.5,,,5.0,N1,Ha Tinh
HT1212523,,7.6,6.0,7.0,7.5,3.25,,,,,,4.8,N1,Ha Tinh
HT1216628,,7.6,5.5,4.25,6.25,6.25,,,,,,4.6,N1,Ha Tinh
HT1211296,,7.6,6.0,4.5,6.75,4.0,,,,,,3.0,N1,Ha Tinh
HT1213459,,7.6,8.25,,,,6.25,8.75,7.75,,,7.2,N1,Ha Tinh
HT1211305,,7.6,5.75,6.75,6.5,5.0,,,,,,3.6,N1,Ha Tinh
HT1210342,,7.6,5.5,6.25,3.75,4.75,,,,,,3.4,N1,Ha Tinh
HT1212019,,7.6,,7.5,6.75,,,,,,,,,Ha Tinh
HT1216615,,7.6,5.75,6.75,6.75,5.5,,,,,,2.4,N1,Ha Tinh
HT1208673,,7.6,6.75,6.25,6.0,3.5,,,,,,4.0,N1,Ha Tinh
HT1209387,,7.6,8.5,,,,6.0,8.75,8.25,,,7.4,N1,Ha Tinh
HT1209381,,7.6,6.0,4.75,4.75,4.0,,,,,,3.2,N1,Ha Tinh
HT1213424,,7.6,3.5,6.5,5.75,4.0,,,,,,3.0,N1,Ha Tinh
HT1215800,,7.6,,7.25,6.0,,,,,,,,,Ha Tinh
HT1215801,,7.6,6.0,6.75,6.0,4.25,,,,,,3.6,N1,Ha Tinh
HT1216583,,7.6,6.75,,,,,,,,,7.6,N1,Ha Tinh
HT1209363,,7.6,6.25,6.5,7.0,7.5,,,,,,5.0,N1,Ha Tinh
HT1211906,,7.6,6.0,7.5,7.25,5.0,,,,,,4.2,N1,Ha Tinh
HT1215930,,7.6,5.25,6.5,7.75,4.75,,,,,,3.8,N1,Ha Tinh
HT1211286,,7.6,5.75,7.25,7.25,4.5,,,,,,6.2,N1,Ha Tinh
HT1211665,,7.6,7.5,,,,5.0,6.5,7.5,,,9.6,N1,Ha Tinh
HT1216060,,7.6,6.75,6.5,7.25,6.25,,,,,,5.4,N1,Ha Tinh
HT1208978,,7.6,5.75,8.0,6.75,4.25,,,,,,6.4,N1,Ha Tinh
HT1216267,,7.6,7.0,,,,,,,,,5.0,N1,Ha Tinh
HT1212874,,7.6,6.5,1.25,3.5,4.5,3.25,6.5,8.25,,,3.4,N1,Ha Tinh
HT1211558,,7.6,6.0,6.25,6.25,5.25,,,,,,2.8,N1,Ha Tinh
HT1212878,,7.6,5.75,3.0,,,,,,,,6.8,N1,Ha Tinh
HT1212921,,7.6,4.0,4.25,2.5,3.75,,,,,,1.6,N1,Ha Tinh
HT1212928,,7.6,,,7.25,7.0,,,,,,,,Ha Tinh
HT1209144,,7.6,6.0,,,,6.25,7.5,7.5,,,4.6,N1,Ha Tinh
HT1209040,,7.6,4.5,7.25,7.25,6.75,,,,,,4.4,N1,Ha Tinh
HT1209132,,7.6,6.25,7.0,4.25,3.75,,,,,,5.6,N1,Ha Tinh
HT1208821,,7.6,5.75,6.5,6.5,7.0,,,,,,4.2,N1,Ha Tinh
HT1212982,,7.6,6.25,6.75,7.0,3.25,,,,,,2.8,N1,Ha Tinh
HT1212984,,7.6,5.75,7.0,7.5,4.25,,,,,,4.4,N1,Ha Tinh
HT1216161,,7.6,7.25,6.75,5.5,4.25,,,,,,2.6,N1,Ha Tinh
HT1213079,,7.6,4.75,8.75,8.5,4.25,,,,,,5.2,N1,Ha Tinh
HT1216155,,7.6,6.75,8.5,4.0,3.75,,,,,,7.4,N1,Ha Tinh
HT1211587,,7.6,7.01,5.0,7.75,8.0,,,,,,4.6,N1,Ha Tinh
HT1213025,,7.6,7.0,7.25,7.5,2.75,,,,,,4.8,N1,Ha Tinh
HT1209074,,7.6,6.25,5.5,5.0,4.5,,,,,,2.6,N1,Ha Tinh
HT1216126,,7.6,6.0,7.25,7.0,5.25,,,,,,3.4,N1,Ha Tinh
HT1209096,,7.6,7.0,7.75,8.25,4.0,,,,,,2.4,N1,Ha Tinh
HT1216284,,7.6,5.75,6.25,3.0,4.25,,,,,,4.8,N1,Ha Tinh
HT1208943,,7.6,3.75,4.5,6.75,6.75,,,,,,2.2,N1,Ha Tinh
HT1216056,,7.6,5.25,6.5,4.25,3.0,4.0,7.5,7.0,,,8.4,N1,Ha Tinh
HT1216321,,7.6,6.25,,,,4.5,6.25,8.25,,,3.4,N1,Ha Tinh
HT1212713,,7.6,5.75,5.5,6.5,5.5,,,,,,4.4,N1,Ha Tinh
HT1211443,,7.6,7.5,7.0,6.0,3.5,,,,,,4.2,N1,Ha Tinh
HT1216416,,7.6,7.5,,,,4.25,4.25,8.25,,,6.0,N1,Ha Tinh
HT1211465,,7.6,8.0,,,,5.0,6.75,8.5,,,7.2,N1,Ha Tinh
HT1212752,,7.6,6.25,5.0,4.5,5.75,3.25,6.25,6.25,,,4.6,N1,Ha Tinh
HT1215996,,7.6,7.25,4.0,4.5,6.75,,,,,,7.2,N1,Ha Tinh
HT1212767,,7.6,4.0,7.5,6.75,2.5,,,,,,4.2,N1,Ha Tinh
HT1215997,,7.6,5.5,7.0,7.0,3.5,,,,,,7.2,N1,Ha Tinh
HT1212788,,7.6,6.0,7.5,7.75,5.0,,,,,,4.0,N1,Ha Tinh
HT1216371,,7.6,4.25,2.0,8.25,8.25,,,,,,6.6,N1,Ha Tinh
HT1216370,,7.6,7.25,,,,5.0,6.25,8.25,,,5.8,N1,Ha Tinh
HT1216366,,7.6,6.0,6.0,4.75,3.5,,,,,,5.2,N1,Ha Tinh
HT1216017,,7.6,7.0,7.25,5.75,3.75,,,,,,3.0,N1,Ha Tinh
HT1211812,,7.6,5.0,4.5,6.0,6.25,,,,,,3.4,N1,Ha Tinh
HT1213185,,7.6,8.25,,,,5.5,8.25,9.0,,,3.6,N1,Ha Tinh
HT1216346,,7.6,7.0,6.5,3.0,2.5,,,,,,7.2,N1,Ha Tinh
HT1216340,,7.6,7.5,6.0,6.0,5.0,,,,,,4.0,N1,Ha Tinh
HT1212827,,7.6,6.25,4.75,7.75,6.5,,,,,,4.6,N1,Ha Tinh
HT1213155,,7.6,,8.0,6.25,4.25,,,,,,,,Ha Tinh
HT1208922,,7.6,7.5,,,,5.75,6.0,7.25,,,7.6,N1,Ha Tinh
HT1216051,,7.6,7.5,,,,6.75,7.0,7.5,,,5.8,N1,Ha Tinh
HT1212493,,7.6,7.25,7.0,5.25,3.25,,,,,,5.4,N1,Ha Tinh
HT1216551,,7.6,7.25,,,,6.75,7.5,8.5,,,5.8,N1,Ha Tinh
HT1216123,,7.6,5.5,,,,6.75,7.25,7.5,,,5.0,N1,Ha Tinh
HT1211233,,7.6,7.0,,,,5.5,8.5,6.75,,,6.6,N1,Ha Tinh
HT1216853,,7.6,6.75,,,,4.0,6.0,8.25,,,5.0,N1,Ha Tinh
HT1212114,,7.6,8.25,6.25,6.75,4.5,,,,,,4.2,N1,Ha Tinh
HT1216843,,7.6,5.5,6.75,6.5,3.0,,,,,,4.2,N1,Ha Tinh
HT1212286,,7.6,6.25,5.5,6.75,4.25,,,,,,5.0,N1,Ha Tinh
HT1212415,,7.6,5.75,5.75,6.0,4.75,5.25,7.5,8.0,,,3.4,N1,Ha Tinh
HT1216729,,7.6,6.25,5.75,6.75,4.75,,,,,,3.2,N1,Ha Tinh
HT1215676,,7.6,6.5,6.25,4.25,4.5,,,,,,2.2,N1,Ha Tinh
