Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1205217,,9.2,6.25,8.25,3.75,4.5,,,,,,8.2,N1,Ha Tinh
HT1207696,,9.2,7.0,7.5,5.75,4.5,,,,,,2.4,N1,Ha Tinh
HT1207170,,9.2,6.25,7.5,7.5,4.5,,,,,,4.0,N1,Ha Tinh
HT1205922,,9.2,6.5,8.75,8.25,6.25,,,,,,6.8,N1,Ha Tinh
HT1201401,,9.2,6.0,8.0,7.0,4.75,,,,,,6.4,N1,Ha Tinh
HT1208311,,9.2,7.75,4.5,8.0,9.0,,,,,,3.8,N1,Ha Tinh
HT1204032,,9.2,5.5,9.0,8.25,5.5,,,,,,5.0,N1,Ha Tinh
HT1202772,,9.2,4.75,8.75,8.0,3.5,,,,,,5.0,N1,Ha Tinh
HT1206811,,9.2,,,6.5,8.0,,,,,,,,Ha Tinh
HT1204006,,9.2,5.5,7.25,7.0,6.0,,,,,,2.8,N1,Ha Tinh
HT1208148,,9.2,5.0,8.75,9.25,3.5,,,,,,5.2,N1,Ha Tinh
HT1200660,,9.2,4.5,8.25,9.0,4.0,,,,,,3.6,N1,Ha Tinh
HT1200550,,9.2,8.75,,,,,,,,,8.4,N1,Ha Tinh
HT1200025,,9.2,7.0,8.0,5.25,4.25,,,,,,9.6,N1,Ha Tinh
HT1203333,,9.2,6.0,7.25,8.5,5.0,,,,,,4.4,N1,Ha Tinh
HT1203523,,9.2,3.0,9.0,8.75,2.75,,,,,,3.2,N1,Ha Tinh
HT1203579,,9.2,6.75,8.25,7.5,5.0,,,,,,7.0,N1,Ha Tinh
HT1203762,,9.2,7.0,8.5,8.5,4.0,,,,,,5.6,N1,Ha Tinh
HT1200615,,9.2,5.5,8.25,8.5,5.0,,,,,,5.6,N1,Ha Tinh
HT1202679,,9.2,5.5,4.25,7.5,9.75,,,,,,5.8,N1,Ha Tinh
HT1206317,,9.2,6.0,9.0,8.0,5.5,,,,,,5.4,N1,Ha Tinh
HT1206636,,9.0,7.5,8.0,8.25,8.25,,,,,,5.8,N1,Ha Tinh
HT1207252,,9.0,8.5,,,,4.5,6.75,7.25,,,6.4,N1,Ha Tinh
HT1200287,,9.0,8.25,,,,9.5,7.25,,,,8.4,N1,Ha Tinh
HT1207186,,9.0,9.0,,,,6.5,7.75,7.25,,,9.2,N1,Ha Tinh
HT1206659,,9.0,5.5,8.75,8.75,2.75,,,,,,5.2,N1,Ha Tinh
HT1205844,,9.0,6.25,9.0,8.25,4.25,,,,,,4.6,N1,Ha Tinh
HT1206511,,9.0,3.75,6.5,5.75,4.25,,,,,,3.0,N1,Ha Tinh
HT1206502,,9.0,5.5,8.0,7.75,5.0,,,,,,4.2,N1,Ha Tinh
HT1206006,,9.0,5.0,8.0,8.0,5.25,,,,,,5.2,N1,Ha Tinh
HT1206441,,9.0,5.0,7.75,8.0,4.75,,,,,,4.8,N1,Ha Tinh
HT1207138,,9.0,5.75,8.5,7.25,4.0,,,,,,6.0,N1,Ha Tinh
HT1207117,,9.0,5.5,7.75,8.5,5.25,,,,,,4.4,N1,Ha Tinh
HT1200243,,9.0,6.25,4.75,8.75,9.25,,,,,,4.2,N1,Ha Tinh
HT1206822,,9.0,7.0,9.0,7.25,4.75,,,,,,5.2,N1,Ha Tinh
HT1205858,,9.0,7.0,8.5,8.5,6.25,,,,,,4.6,N1,Ha Tinh
HT1200001,,9.0,7.75,,,,6.0,8.5,9.0,,,9.4,N1,Ha Tinh
HT1205753,,9.0,7.5,7.5,7.75,3.75,,,,,,5.0,N1,Ha Tinh
HT1205684,,9.0,8.75,,,,6.75,7.5,7.5,,,8.8,N1,Ha Tinh
HT1200592,,9.0,6.5,8.5,3.5,4.25,,,,,,9.0,N1,Ha Tinh
HT1202625,,9.0,5.5,9.0,4.25,4.0,,,,,,9.2,N1,Ha Tinh
HT1202378,,9.0,5.25,8.25,8.0,4.5,,,,,,3.2,N1,Ha Tinh
HT1202139,,9.0,,,7.5,9.0,,,,,,,,Ha Tinh
HT1202104,,9.0,4.75,7.0,7.25,5.0,,,,,,4.0,N1,Ha Tinh
HT1201991,,9.0,7.0,8.0,8.0,3.75,,,,,,4.6,N1,Ha Tinh
HT1201766,,9.0,5.5,5.5,6.75,5.5,,,,,,4.0,N1,Ha Tinh
HT1201633,,9.0,5.75,7.5,7.75,4.75,,,,,,4.6,N1,Ha Tinh
HT1201557,,9.0,5.75,7.5,7.75,4.0,,,,,,3.0,N1,Ha Tinh
HT1201431,,9.0,6.25,8.75,9.5,5.0,,,,,,8.8,N1,Ha Tinh
HT1201322,,9.0,5.0,2.5,9.0,9.25,,,,,,7.4,N1,Ha Tinh
HT1201220,,9.0,4.0,7.75,7.0,3.25,,,,,,2.8,N1,Ha Tinh
HT1201112,,9.0,7.25,3.75,4.75,5.0,,,,,,4.6,N1,Ha Tinh
HT1201087,,9.0,6.5,7.5,7.5,5.25,,,,,,3.8,N1,Ha Tinh
HT1200784,,9.0,7.5,4.0,8.25,8.5,,,,,,5.6,N1,Ha Tinh
HT1202919,,9.0,5.25,7.75,7.5,2.0,,,,,,2.6,N1,Ha Tinh
HT1202939,,9.0,7.25,7.75,4.5,5.0,,,,,,7.0,N1,Ha Tinh
HT1203001,,9.0,7.25,3.75,8.5,5.25,,,,,,8.8,N1,Ha Tinh
HT1205009,,9.0,4.75,8.75,8.0,4.0,,,,,,4.2,N1,Ha Tinh
HT1205562,,9.0,6.0,4.5,8.5,8.75,,,,,,5.2,N1,Ha Tinh
HT1205520,,9.0,6.75,7.75,7.0,5.5,,,,,,5.0,N1,Ha Tinh
HT1205409,,9.0,6.5,7.75,7.5,5.75,,,,,,7.6,N1,Ha Tinh
HT1205279,,9.0,5.75,7.5,7.0,6.25,,,,,,4.8,N1,Ha Tinh
HT1205195,,9.0,6.75,8.25,8.5,3.25,,,,,,6.2,N1,Ha Tinh
HT1200375,,9.0,4.25,6.75,6.5,5.5,,,,,,7.4,N1,Ha Tinh
HT1204881,,9.0,5.5,8.0,8.5,4.5,,,,,,4.6,N1,Ha Tinh
HT1203058,,9.0,6.5,8.25,7.75,5.25,,,,,,4.6,N1,Ha Tinh
HT1200434,,9.0,6.25,8.5,7.75,4.75,,,,,,5.2,N1,Ha Tinh
HT1200477,,9.0,6.0,8.5,7.75,4.0,,,,,,3.8,N1,Ha Tinh
HT1203964,,9.0,7.0,8.25,8.25,5.0,,,,,,4.0,N1,Ha Tinh
HT1203904,,9.0,5.0,9.0,8.5,4.25,,,,,,3.0,N1,Ha Tinh
HT1203407,,9.0,4.75,8.25,8.25,4.0,,,,,,3.6,N1,Ha Tinh
HT1203076,,9.0,6.75,7.0,6.5,2.25,,,,,,2.6,N1,Ha Tinh
HT1207345,,9.0,6.5,8.25,5.75,6.25,,,,,,8.8,N1,Ha Tinh
HT1204829,,9.0,6.0,8.25,3.0,5.0,,,,,,8.0,N1,Ha Tinh
HT1207584,,9.0,5.5,7.25,7.5,5.25,,,,,,5.8,N1,Ha Tinh
HT1208110,,9.0,6.25,8.75,3.75,3.0,,,,,,9.0,N1,Ha Tinh
HT1207931,,9.0,7.5,8.0,7.0,5.0,,,,,,8.6,N1,Ha Tinh
HT1208249,,9.0,5.0,7.5,7.0,5.0,,,,,,3.8,N1,Ha Tinh
HT1208287,,9.0,7.5,7.25,3.25,3.75,,,,,,6.8,N1,Ha Tinh
HT1208292,,9.0,5.25,4.5,7.5,9.25,,,,,,4.0,N1,Ha Tinh
HT1200096,,9.0,8.25,,,,5.25,6.5,7.25,,,9.6,N3,Ha Tinh
HT1207611,,9.0,4.25,3.25,8.0,7.25,,,,,,6.4,N1,Ha Tinh
HT1207525,,9.0,5.0,9.0,3.75,2.75,,,,,,9.6,N1,Ha Tinh
HT1207980,,9.0,5.75,7.0,8.5,4.25,,,,,,5.8,N1,Ha Tinh
HT1208418,,9.0,6.75,7.5,2.5,5.5,,,,,,8.2,N1,Ha Tinh
HT1207891,,9.0,7.5,8.25,3.0,4.75,,,,,,8.6,N1,Ha Tinh
HT1208360,,9.0,5.75,8.25,8.75,4.5,,,,,,3.0,N1,Ha Tinh
HT1208185,,9.0,5.75,4.5,6.5,8.75,,,,,,5.2,N1,Ha Tinh
HT1206855,,8.8,7.25,3.75,7.5,6.5,,,,,,3.4,N1,Ha Tinh
HT1203585,,8.8,5.5,6.75,4.75,4.5,,,,,,5.8,N1,Ha Tinh
HT1205596,,8.8,6.0,7.25,6.0,4.5,,,,,,4.0,N1,Ha Tinh
HT1208408,,8.8,6.75,7.5,7.5,6.75,,,,,,6.8,N1,Ha Tinh
HT1206907,,8.8,7.0,8.25,5.75,4.5,,,,,,9.2,N1,Ha Tinh
HT1204657,,8.8,5.0,8.75,8.0,5.75,,,,,,7.2,N1,Ha Tinh
HT1206898,,8.8,6.0,8.0,4.75,3.5,,,,,,7.6,N1,Ha Tinh
HT1205914,,8.8,7.0,7.5,4.75,4.0,,,,,,9.0,N1,Ha Tinh
HT1203069,,8.8,8.0,7.75,6.0,5.75,,,,,,6.8,N1,Ha Tinh
HT1205941,,8.8,8.75,,,,3.25,5.75,9.0,,,8.8,N1,Ha Tinh
HT1208027,,8.8,5.75,7.25,6.75,4.0,,,,,,2.4,N1,Ha Tinh
HT1207799,,8.8,6.5,5.25,8.75,9.5,,,,,,3.8,N1,Ha Tinh
HT1204584,,8.8,7.0,8.5,5.5,4.75,,,,,,5.0,N1,Ha Tinh
HT1203080,,8.8,7.5,8.0,7.0,4.75,,,,,,3.8,N1,Ha Tinh
HT1204524,,8.8,6.0,8.0,7.75,2.5,,,,,,3.6,N1,Ha Tinh
HT1201744,,8.8,4.75,7.75,7.0,4.5,,,,,,4.6,N1,Ha Tinh
HT1204445,,8.8,5.75,2.75,6.25,8.75,,,,,,3.4,N1,Ha Tinh
HT1205624,,8.8,,7.75,7.5,7.25,,,,,,,,Ha Tinh
HT1202162,,8.8,3.25,6.75,8.0,9.0,,,,,,9.2,N1,Ha Tinh
HT1201968,,8.8,3.75,8.25,8.25,5.0,,,,,,4.6,N1,Ha Tinh
HT1202170,,8.8,4.75,4.5,7.5,7.75,,,,,,3.4,N1,Ha Tinh
HT1205865,,8.8,6.5,7.0,7.75,3.75,,,,,,2.0,N1,Ha Tinh
HT1204345,,8.8,5.75,7.75,5.75,3.0,,,,,,2.4,N1,Ha Tinh
HT1203344,,8.8,8.0,,,,5.25,7.5,8.0,,,9.4,N1,Ha Tinh
HT1206539,,8.8,5.5,8.75,8.5,4.75,,,,,,3.6,N1,Ha Tinh
HT1207583,,8.8,5.5,7.75,4.75,4.0,,,,,,6.0,N1,Ha Tinh
HT1206601,,8.8,6.75,6.0,7.75,8.25,,,,,,5.2,N1,Ha Tinh
HT1204355,,8.8,5.0,8.0,7.0,3.75,,,,,,4.2,N1,Ha Tinh
HT1205882,,8.8,7.25,4.0,7.0,7.5,,,,,,4.6,N1,Ha Tinh
HT1206411,,8.8,,7.25,7.25,,,,,,,,,Ha Tinh
HT1206658,,8.8,6.5,8.75,8.25,4.25,,,,,,4.2,N1,Ha Tinh
HT1208126,,8.8,6.75,7.0,7.25,4.5,,,,,,4.2,N1,Ha Tinh
HT1205909,,8.8,,7.75,1.25,,,,,,,6.0,N1,Ha Tinh
HT1205659,,8.8,6.0,8.0,5.0,4.0,,,,,,8.8,N1,Ha Tinh
HT1203198,,8.8,6.25,6.75,7.25,6.75,,,,,,4.6,N1,Ha Tinh
HT1205658,,8.8,6.0,8.25,8.0,3.5,,,,,,4.0,N1,Ha Tinh
HT1201330,,8.8,6.5,8.25,9.5,5.0,,,,,,3.8,N1,Ha Tinh
HT1200045,,8.8,7.5,7.75,4.0,4.75,,,,,,6.8,N1,Ha Tinh
HT1203025,,8.8,5.75,7.75,7.25,3.25,,,,,,3.8,N1,Ha Tinh
HT1205101,,8.8,6.25,8.25,7.75,4.5,,,,,,5.0,N1,Ha Tinh
HT1202528,,8.8,7.25,8.5,4.5,4.75,,,,,,8.8,N1,Ha Tinh
HT1202636,,8.8,6.5,8.0,8.0,5.75,,,,,,4.8,N1,Ha Tinh
HT1202212,,8.8,5.0,7.5,7.25,6.0,,,,,,4.6,N1,Ha Tinh
HT1208033,,8.8,,7.0,6.75,,,,,,,,,Ha Tinh
HT1207215,,8.8,8.25,,,,4.0,6.0,7.75,,,8.4,N1,Ha Tinh
HT1203956,,8.8,6.0,8.75,9.0,5.5,,,,,,2.8,N1,Ha Tinh
HT1202601,,8.8,,6.0,6.5,,,,,,,,,Ha Tinh
HT1202585,,8.8,6.0,7.5,7.25,3.5,,,,,,5.0,N1,Ha Tinh
HT1202571,,8.8,4.25,7.75,8.5,7.0,,,,,,3.0,N1,Ha Tinh
HT1207430,,8.8,5.75,8.75,7.5,5.75,,,,,,5.0,N1,Ha Tinh
HT1205172,,8.8,6.75,7.0,7.0,5.0,,,,,,2.2,N1,Ha Tinh
HT1203818,,8.8,8.25,,,,5.25,6.75,6.5,,,9.6,N1,Ha Tinh
HT1207317,,8.8,5.75,3.5,7.25,9.5,,,,,,2.8,N1,Ha Tinh
HT1200377,,8.8,6.0,5.25,7.25,9.5,,,,,,4.8,N1,Ha Tinh
HT1202347,,8.8,7.25,7.75,5.25,5.25,,,,,,7.6,N1,Ha Tinh
HT1201197,,8.8,5.0,5.75,4.25,4.75,,,,,,5.0,N1,Ha Tinh
HT1202457,,8.8,5.25,4.75,6.25,9.25,,,,,,5.2,N1,Ha Tinh
HT1208257,,8.8,5.5,7.5,6.75,5.75,,,,,,3.6,N1,Ha Tinh
HT1202372,,8.8,6.25,6.0,6.75,4.25,,,,,,2.6,N1,Ha Tinh
HT1203979,,8.8,,8.5,7.75,3.75,,,,,,,,Ha Tinh
HT1206474,,8.8,,8.25,,,,,,,,8.6,N1,Ha Tinh
HT1208206,,8.8,5.5,7.75,7.0,4.25,,,,,,4.6,N1,Ha Tinh
HT1205265,,8.8,4.75,8.5,7.75,2.5,,,,,,4.6,N1,Ha Tinh
HT1201475,,8.8,6.0,8.0,8.0,5.5,,,,,,5.4,N1,Ha Tinh
HT1204704,,8.8,3.25,8.25,7.75,5.5,,,,,,3.6,N1,Ha Tinh
HT1202691,,8.8,6.75,8.5,7.75,5.75,,,,,,7.8,N1,Ha Tinh
HT1205341,,8.8,5.5,8.25,6.0,3.75,,,,,,9.2,N1,Ha Tinh
HT1204711,,8.8,6.0,8.0,7.25,5.0,,,,,,3.6,N1,Ha Tinh
HT1201501,,8.8,4.75,7.75,4.5,3.75,,,,,,4.4,N1,Ha Tinh
HT1203750,,8.8,7.5,8.75,3.0,4.5,5.5,5.0,6.0,,,8.4,N1,Ha Tinh
HT1207882,,8.8,6.5,6.5,6.25,3.5,,,,,,5.0,N1,Ha Tinh
HT1204754,,8.8,6.25,6.5,7.75,9.25,,,,,,5.4,N1,Ha Tinh
HT1207009,,8.8,6.75,8.75,7.5,4.5,,,,,,2.6,N1,Ha Tinh
HT1206102,,8.6,5.75,7.0,6.5,4.75,,,,,,4.8,N1,Ha Tinh
HT1203918,,8.6,4.0,8.5,4.0,3.5,,,,,,7.6,N1,Ha Tinh
HT1201983,,8.6,6.5,6.5,7.0,4.25,,,,,,4.8,N1,Ha Tinh
HT1208010,,8.6,5.5,8.5,6.75,4.0,,,,,,3.8,N1,Ha Tinh
HT1204046,,8.6,6.0,5.75,5.5,4.0,,,,,,4.4,N1,Ha Tinh
HT1208003,,8.6,8.5,,,,8.5,8.0,9.25,,,5.8,N1,Ha Tinh
HT1200102,,8.6,8.0,,,,7.5,8.25,7.5,,,5.2,N1,Ha Tinh
HT1204135,,8.6,4.25,7.5,8.0,6.0,,,,,,4.2,N1,Ha Tinh
HT1202014,,8.6,6.25,4.25,7.75,6.75,,,,,,4.4,N1,Ha Tinh
HT1203949,,8.6,4.25,7.75,5.0,4.25,,,,,,2.0,N1,Ha Tinh
HT1205997,,8.6,5.75,9.0,9.75,4.25,,,,,,4.0,N1,Ha Tinh
HT1204097,,8.6,6.0,5.0,7.75,8.0,,,,,,3.6,N1,Ha Tinh
HT1202049,,8.6,6.5,8.5,7.25,4.5,,,,,,3.4,N1,Ha Tinh
HT1208018,,8.6,6.25,7.25,7.25,4.75,,,,,,2.6,N1,Ha Tinh
HT1203999,,8.6,7.0,8.0,6.25,5.5,,,,,,4.6,N1,Ha Tinh
HT1207352,,8.6,,8.25,8.5,4.75,,,,,,,,Ha Tinh
HT1208286,,8.6,6.0,8.0,7.0,4.0,,,,,,3.4,N1,Ha Tinh
HT1204309,,8.6,5.75,8.0,7.75,5.0,,,,,,2.8,N1,Ha Tinh
HT1201548,,8.6,6.75,,,,4.5,7.25,7.75,,,9.0,N3,Ha Tinh
HT1201502,,8.6,6.0,6.5,7.25,2.75,,,,,,3.4,N1,Ha Tinh
HT1205216,,8.6,6.0,8.0,3.5,3.75,,,,,,7.8,N1,Ha Tinh
HT1200360,,8.6,7.0,8.5,7.5,5.75,,,,,,4.2,N1,Ha Tinh
HT1201646,,8.6,7.75,8.0,5.5,6.0,3.25,7.0,7.75,,,9.0,N1,Ha Tinh
HT1201544,,8.6,7.0,8.5,7.5,5.25,,,,,,4.8,N1,Ha Tinh
HT1204777,,8.6,6.75,5.0,7.25,8.5,,,,,,4.0,N1,Ha Tinh
HT1200814,,8.6,7.5,,,,8.5,8.75,8.75,,,9.2,N1,Ha Tinh
HT1201961,,8.6,8.0,,,,5.5,7.5,8.75,,,8.0,N1,Ha Tinh
HT1205085,,8.6,8.0,,,,5.5,8.0,8.5,,,6.4,N1,Ha Tinh
HT1204842,,8.6,7.0,7.25,5.75,4.25,,,,,,3.0,N1,Ha Tinh
HT1205056,,8.6,5.0,7.75,7.5,5.25,,,,,,3.4,N1,Ha Tinh
HT1204883,,8.6,7.0,7.25,8.75,5.0,,,,,,5.6,N1,Ha Tinh
HT1200722,,8.6,5.25,6.25,6.0,4.75,,,,,,3.6,N1,Ha Tinh
HT1201601,,8.6,6.0,8.5,7.5,3.25,,,,,,4.0,N1,Ha Tinh
HT1201668,,8.6,4.75,7.25,3.25,4.25,,,,,,8.0,N1,Ha Tinh
HT1204703,,8.6,5.5,7.75,4.25,4.0,,,,,,7.8,N1,Ha Tinh
HT1207915,,8.6,7.0,8.25,7.5,4.75,,,,,,6.8,N1,Ha Tinh
HT1200419,,8.6,6.5,7.5,8.0,3.75,,,,,,6.0,N1,Ha Tinh
HT1207934,,8.6,7.5,7.0,7.75,8.75,,,,,,5.0,N1,Ha Tinh
HT1204631,,8.6,7.5,7.75,8.0,4.75,,,,,,4.8,N1,Ha Tinh
HT1204618,,8.6,6.75,,,,4.75,7.25,8.5,,,6.6,N1,Ha Tinh
HT1201680,,8.6,5.0,6.0,6.0,4.25,,,,,,3.2,N1,Ha Tinh
HT1201381,,8.6,,6.0,7.0,,,,,,,,,Ha Tinh
HT1201703,,8.6,6.5,8.0,7.75,5.0,,,,,,5.4,N1,Ha Tinh
HT1208324,,8.6,6.25,8.0,4.5,4.5,,,,,,6.6,N1,Ha Tinh
HT1201805,,8.6,5.5,7.75,7.0,5.5,,,,,,2.4,N1,Ha Tinh
HT1205700,,8.6,6.0,8.5,5.75,4.0,,,,,,4.0,N1,Ha Tinh
HT1200450,,8.6,8.0,,,,8.5,,,,,,,Ha Tinh
HT1204356,,8.6,7.25,,,,3.75,7.5,8.5,,,7.2,N1,Ha Tinh
HT1204352,,8.6,6.0,6.25,7.0,5.25,,,,,,3.6,N1,Ha Tinh
HT1205750,,8.6,6.0,7.0,6.75,4.5,,,,,,4.0,N1,Ha Tinh
HT1201188,,8.6,6.75,7.5,7.25,4.5,,,,,,3.4,N1,Ha Tinh
HT1200007,,8.6,6.5,5.25,3.75,3.5,,,,,,2.8,N1,Ha Tinh
HT1206725,,8.6,5.0,7.0,6.25,4.75,,,,,,3.2,N1,Ha Tinh
HT1206816,,8.6,7.0,8.5,6.5,5.25,,,,,,8.6,N1,Ha Tinh
HT1206936,,8.6,6.75,8.5,7.0,4.5,,,,,,2.2,N1,Ha Tinh
HT1208293,,8.6,7.5,7.25,7.5,7.75,,,,,,8.4,N1,Ha Tinh
HT1203078,,8.6,5.0,8.75,7.75,5.75,,,,,,4.8,N1,Ha Tinh
HT1200193,,8.6,5.75,6.75,7.5,4.5,,,,,,3.4,N1,Ha Tinh
HT1206840,,8.6,8.75,,,,,,,,,8.2,N1,Ha Tinh
HT1203098,,8.6,3.5,5.5,8.0,8.0,,,,,,6.8,N1,Ha Tinh
HT1206818,,8.6,7.0,4.75,8.25,9.0,,,,,,6.0,N1,Ha Tinh
HT1200992,,8.6,5.75,4.25,7.25,9.0,,,,,,4.6,N1,Ha Tinh
HT1203377,,8.6,7.0,3.5,6.5,7.5,,,,,,4.6,N1,Ha Tinh
HT1203100,,8.6,,7.75,6.75,3.0,,,,,,,,Ha Tinh
HT1206740,,8.6,6.0,7.25,5.5,4.25,,,,,,6.0,N1,Ha Tinh
HT1206721,,8.6,4.0,8.0,6.5,2.75,,,,,,2.2,N1,Ha Tinh
HT1203121,,8.6,3.75,6.75,7.5,4.75,,,,,,2.6,N1,Ha Tinh
HT1201004,,8.6,5.5,3.75,7.75,7.0,,,,,,2.4,N1,Ha Tinh
HT1203332,,8.6,,8.25,8.5,,,,,,,,,Ha Tinh
HT1206589,,8.6,6.5,6.75,7.75,4.5,,,,,,2.6,N1,Ha Tinh
HT1208163,,8.6,5.0,8.25,6.5,4.25,,,,,,3.4,N1,Ha Tinh
HT1202236,,8.6,7.25,,,,5.75,7.5,8.25,,,8.6,N1,Ha Tinh
HT1207472,,8.6,3.75,7.25,6.25,6.25,,,,,,4.0,N1,Ha Tinh
HT1206989,,8.6,6.5,7.5,6.75,5.75,,,,,,3.6,N1,Ha Tinh
HT1202383,,8.6,5.25,6.5,8.25,4.5,,,,,,3.4,N1,Ha Tinh
HT1207342,,8.6,8.0,,,,4.5,6.5,8.5,,,8.6,N1,Ha Tinh
HT1202335,,8.6,6.75,,,,,,,,,6.2,N1,Ha Tinh
HT1202483,,8.6,5.75,7.75,8.0,4.5,,,,,,3.0,N1,Ha Tinh
HT1202501,,8.6,6.5,4.75,7.25,4.0,,,,,,2.2,N1,Ha Tinh
HT1200150,,8.6,8.25,,,,3.75,6.0,8.0,,,9.0,N1,Ha Tinh
HT1207226,,8.6,7.75,,,,5.25,6.5,8.0,,,9.6,N1,Ha Tinh
