Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1208272,,9.8,4.5,8.25,9.0,3.5,,,,,,5.4,N1,Ha Tinh
HT1200993,,9.8,6.0,2.75,9.25,9.75,,,,,,7.6,N1,Ha Tinh
HT1206261,,9.8,6.25,9.5,6.25,4.0,,,,,,8.2,N1,Ha Tinh
HT1204945,,9.6,5.0,8.0,7.75,4.75,,,,,,5.0,N1,Ha Tinh
HT1206498,,9.6,5.75,8.25,8.5,2.5,,,,,,3.0,N1,Ha Tinh
HT1202326,,9.6,5.0,9.25,9.25,6.0,,,,,,4.6,N1,Ha Tinh
HT1202209,,9.6,5.5,9.0,5.25,4.75,,,,,,7.4,N1,Ha Tinh
HT1202155,,9.6,5.5,8.5,8.25,3.0,,,,,,7.8,N1,Ha Tinh
HT1203929,,9.6,3.75,7.25,5.5,4.5,,,,,,3.8,N1,Ha Tinh
HT1202114,,9.6,5.0,8.75,8.75,6.0,,,,,,4.6,N1,Ha Tinh
HT1206988,,9.6,6.5,4.25,9.25,9.0,,,,,,6.4,N1,Ha Tinh
HT1200017,,9.6,6.75,9.5,9.0,4.5,,,,,,7.6,N1,Ha Tinh
HT1206040,,9.6,6.5,8.5,8.5,4.75,,,,,,6.2,N1,Ha Tinh
HT1205519,,9.6,5.0,9.0,4.75,5.5,,,,,,9.4,N1,Ha Tinh
HT1205208,,9.6,6.0,9.0,7.0,4.5,,,,,,4.4,N1,Ha Tinh
HT1207311,,9.6,4.75,8.75,3.0,2.0,,,,,,9.4,N1,Ha Tinh
HT1202903,,9.4,5.0,3.75,8.75,9.25,,,,,,3.6,N1,Ha Tinh
HT1205916,,9.4,4.25,7.25,6.75,3.25,,,,,,4.6,N1,Ha Tinh
HT1203232,,9.4,5.5,9.0,6.75,5.0,,,,,,9.6,N1,Ha Tinh
HT1207751,,9.4,4.5,8.0,8.0,1.5,,,,,,3.0,N1,Ha Tinh
HT1205935,,9.4,6.0,7.75,8.0,5.75,,,,,,4.4,N1,Ha Tinh
HT1206412,,9.4,6.5,7.5,7.5,3.25,,,,,,3.8,N1,Ha Tinh
HT1205402,,9.4,5.25,8.25,7.75,5.25,,,,,,3.8,N1,Ha Tinh
HT1207644,,9.4,6.25,5.25,9.5,9.0,,,,,,5.2,N1,Ha Tinh
HT1207988,,9.4,5.5,8.25,7.75,3.75,,,,,,4.2,N1,Ha Tinh
HT1205358,,9.4,5.75,8.75,8.75,4.75,,,,,,4.8,N1,Ha Tinh
HT1204106,,9.4,4.0,8.25,2.75,4.5,,,,,,9.4,N1,Ha Tinh
HT1204223,,9.4,7.25,5.75,3.0,3.0,,,,,,8.6,N1,Ha Tinh
HT1207617,,9.4,6.5,7.25,5.25,4.5,,,,,,6.6,N1,Ha Tinh
HT1206737,,9.4,6.75,3.5,8.0,9.75,,,,,,3.0,N1,Ha Tinh
HT1204632,,9.4,4.0,8.75,9.0,2.25,,,,,,3.8,N1,Ha Tinh
HT1204114,,9.4,6.0,8.5,8.25,5.75,,,,,,4.8,N1,Ha Tinh
HT1203185,,9.4,7.0,9.0,8.25,5.25,,,,,,4.6,N1,Ha Tinh
HT1206870,,9.4,3.5,9.0,3.75,3.75,,,,,,9.6,N1,Ha Tinh
HT1200882,,9.4,6.0,8.5,8.5,4.75,,,,,,6.6,N1,Ha Tinh
HT1207305,,9.4,5.75,3.0,8.75,8.5,,,,,,3.6,N1,Ha Tinh
HT1201184,,9.4,7.0,8.25,8.75,5.25,,,,,,6.0,N1,Ha Tinh
HT1201346,,9.4,6.75,8.25,3.5,3.25,,,,,,9.8,N1,Ha Tinh
HT1202376,,9.4,6.5,8.25,8.25,4.25,,,,,,4.0,N1,Ha Tinh
HT1204682,,9.2,5.75,8.0,6.75,3.75,,,,,,3.6,N1,Ha Tinh
HT1208259,,9.2,6.5,8.5,8.5,6.0,,,,,,3.0,N1,Ha Tinh
HT1206900,,9.2,5.5,8.5,8.0,4.25,,,,,,4.4,N1,Ha Tinh
HT1207392,,9.2,,,8.25,9.75,,,,,,,,Ha Tinh
HT1206904,,9.2,3.75,7.5,8.0,3.5,,,,,,3.0,N1,Ha Tinh
HT1204331,,9.2,5.75,8.5,4.25,4.75,,,,,,6.6,N1,Ha Tinh
HT1201741,,9.2,4.75,7.75,7.5,5.25,,,,,,4.2,N1,Ha Tinh
HT1204527,,9.2,8.25,,,,6.25,8.0,8.0,,,9.8,N1,Ha Tinh
HT1204681,,9.2,5.5,8.0,8.75,3.75,,,,,,4.2,N1,Ha Tinh
HT1202387,,9.2,7.25,5.75,8.75,8.25,,,,,,5.0,N1,Ha Tinh
HT1201506,,9.2,6.0,7.0,4.5,5.25,,,,,,7.4,N1,Ha Tinh
HT1204927,,9.2,6.25,8.5,8.5,4.0,,,,,,5.8,N1,Ha Tinh
HT1204039,,9.2,5.75,7.5,9.0,4.25,,,,,,3.8,N1,Ha Tinh
HT1206036,,9.2,4.0,8.75,8.0,3.75,,,,,,2.4,N1,Ha Tinh
HT1205133,,9.2,5.5,9.5,7.5,2.75,,,,,,7.2,N1,Ha Tinh
